"The Gallery at Windsor","0",NA
"Gibbs Farm","0",NA
"Fondazione Pier Luigi e Natalina Remotti","0",NA
"Springmeier Collection","0",NA
"Fürstenberg Zeitgenossisch","0",NA
"Kunst(Zeug)Haus","1","M199869"
"The Private Museum","0",NA
"La Maison Rouge","0",NA
"Il Giardino dei Lauri","0",NA
"Castello di Ama","0",NA
"Fondation Zinsou","0",NA
"L'institut culturel bernard magrez","0",NA
"Nesrin Esirtgen Collection","0",NA
"Faena Art Center","0",NA
"Zaha Museum","0",NA
"Exhibition Hall (Kunsthalle) at Neuffer am Park","0",NA
"Sammlung Jürgen Blum","0",NA
"Philara","0",NA
"Art Retreat Museum","0",NA
"Museum of Contemporary Art","0",NA
"Faurschou Foundation","0",NA
"53 Art Museum","0",NA
"Avant-garde Contemporary Art Center","0",NA
"Flower City Art Museum","0",NA
"Guanyi Literature Museum of Contemporary Art","0",NA
"GUANGDONG CONTEMPORARY ART CENTER","0",NA
"Ju Ming Museum","0",NA
"Today Art Museum","0",NA
"LiArtMuseum","0",NA
"Blue Roof Museum of Chengdu","0",NA
"Daiwa Press Viewing Room","0",NA
"Parkview Green Museum","0",NA
"Blenheim Art Foundation","0",NA
"Yuan Art Museum","0",NA
"Qiao Shi Guang Art Museum","0",NA
"Hanbo Art Museum","0",NA
"Times Museum","0",NA
"Si Shang Art Museum","0",NA
"Yuan Space","0",NA
"Kunsthalle HGN","0",NA
"Zeitz Sculpture Garden","0",NA
"Salsali Private Museum","0",NA
"Saatchi Gallery","0",NA
"PinchukArtCentre","0",NA
"Museum Kampa","0",NA
"Long Museum - Pudong","0",NA
"Long Museum - West Bund","0",NA
"Kunstmuseum Walter","1","M193916"
"Jupiter Artland","0",NA
"Goss Michael Foundation","0",NA
"Akili Museum","0",NA
"Yuz Museum (Shanghai)","0",NA
"Schauwerk Sindelfingen","1","M215166"
"Sensus luoghi per l'Arte Contemporanea","0",NA
"GoEun Museum of Photography","0",NA
"Arario Museum in SPACE","0",NA
"Arario Museum Topdong / Tapdong Cinema","0",NA
"Arario Museum Tapdong Bikeshop","0",NA
"Arario Museum Dongmun Motel 1","0",NA
"Arario Museum Dongmun Motel 2","0",NA
"Pera Museum","0",NA
"The Broad","0",NA
"Zeitz Museum of contemporary art Africa","1","M225138"
"Museum Voorlinden","0",NA
"FAMA Museu e Campo (Fábrica de Arte Marcos Amaro)","0",NA
"IMS (Instituto Moreira Salles) RJ","0",NA
"World Class Boxing","0",NA
"para site","0",NA
"stiftung museum schloss moyland","1","M47854"
"museum brandhorst","1","M210723"
"baijia lake museum","0",NA
"Museum Belvédère","0",NA
"calouste gulbenkian museum","0",NA
"frye art museum","0",NA
"f11 foto museum","0",NA
"frans oomen collection","0",NA
"fondazione antonio mazzotta","0",NA
"lucas museum of narrative art","0",NA
"art stations foundation","0",NA
"sharjah art foundation","0",NA
"museum de pont","0",NA
"serralves museum","1","M48237"
"federkiel","0",NA
"kw institute for contemporary art","0",NA
"ruby city","0",NA
"Modern Contemporary (Moco) Museum Amsterdam","0",NA
"bozcaada museum","0",NA
"fabric workshop and museum","1","M70555"
"millennium iconoclast museum of art","0",NA
"kykuit","0",NA
"karpidas collection","0",NA
"casa musumeci greco","0",NA
"ogden museum of southern art","0",NA
"swaraj art archive","0",NA
"the giorgio cini foundation","0",NA
"souls grown deep foundation","0",NA
"m+ museum","0",NA
"The Castello di Rivoli Museum of Contemporary Art","0",NA
"space collection","0",NA
"neon foundation","0",NA
"samdani art foundation","0",NA
"stalke collection","0",NA
"okada museum of art","0",NA
"the hepworth wakefield","1","M215209"
"the didi museum","0",NA
"21c museum hotels","0",NA
"collezione maramotti","0",NA
"la fab","0",NA
"yarat art space","0",NA
"fondation maeght","1","M28035"
"servais family collection","0",NA
"fondazione pietro rossini / Rossini Art Site","0",NA
"musée de la photographie de saint-louis senegal","0",NA
"amos rex museum","1","M29415"
"espacio solo","0",NA
"kat_a—kunst am turm_andra","0",NA
"hall art foundation / Derneburg","0",NA
"museum sammlung rosengart","1","M96017"
"arsenal contemporary art / New York","0",NA
"Arsenal contemporary art / Toronto","0",NA
"antinori art project / cantina antinori","0",NA
"rupert museum","1","M13408"
"amc collezione coppola","0",NA
"antonio dalle nogare foundation","0",NA
"The Walther Collection—  New York","0",NA
"Dalloul Art Foundation","0",NA
"the basil and elise goulandris foundation museum of modern art/ Goulandris Museum","0",NA
"venet foundation","0",NA
"the bunker","0",NA
"braunsfelder family collection","0",NA
"el segundo museum of art (esmoa)","0",NA
"carl & marilynn thoma art foundation","0",NA
"fundación rosón arte contemporáneo  (rac)","0",NA
"ekebergparken collection","0",NA
"fondation pour l’art contemporain—  claudine & jean-marc salomon","0",NA
"Lyon Housemuseum Galleries","0",NA
"newport street gallery","0",NA
"mo museum","0",NA
"magasin iii","0",NA
"feuerle collection","0",NA
"the dikeou collection","0",NA
"ten cubed","0",NA
"zuzeum","0",NA
"museum dkm","1","M215094"
"oei hong djien museum","0",NA
"piramal museum of art","0",NA
